PMID,Title,DOI_URL
30414594,Accelerated DNA methylation age and the use of antihypertensive medication among older adults.,https://doi.org/10.18632/aging.101626
28592514,A Western Diet Pattern Is Associated with Higher Concentrations of Blood and Bone Lead among Middle-Aged and Elderly Men.,https://doi.org/10.3945/jn.117.249060
24145859,Self-reported sleep and β-amyloid deposition in community-dwelling older adults.,https://doi.org/10.1001/jamaneurol.2013.4258
26791184,Dietary anthocyanin intake and age-related decline in lung function: longitudinal findings from the VA Normative Aging Study.,https://doi.org/10.3945/ajcn.115.121467
,The inflammatory potential of dietary manganese in a cohort of elderly men,
25715694,Serum tocopherol levels and vitamin E intake are associated with lung function in the normative aging study.,https://doi.org/10.1016/j.clnu.2015.01.020
31277270,Smoking-Related DNA Methylation is Associated with DNA Methylation Phenotypic Age Acceleration: The Veterans Affairs Normative Aging Study.,https://doi.org/10.3390/ijerph16132356
22407520,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1002/clc.21978
22316111,High-fiber foods reduce periodontal disease progression in men aged 65 and older: the Veterans Affairs normative aging study/Dental Longitudinal Study.,https://doi.org/10.1111/j.1532-5415.2011.03866.x
21414889,Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1289/ehp.1003279
21878420,"Associations of toenail arsenic, cadmium, mercury, manganese, and lead with blood pressure in the normative aging study.",https://doi.org/10.1289/ehp.1002805
22833016,Arsenic exposure and DNA methylation among elderly men.,https://doi.org/10.1097/EDE.0b013e31825afb0b
22207354,Aging and epigenetics: longitudinal changes in gene-specific DNA methylation.,https://doi.org/10.4161/epi.7.1.18749
26121922,Cumulative lead exposure is associated with reduced olfactory recognition performance in elderly men: The Normative Aging Study.,https://doi.org/10.1016/j.neuro.2015.06.006
23370289,Cumulative lead exposure in community-dwelling adults and fine motor function: comparing standard and novel tasks in the VA normative aging study.,https://doi.org/10.1016/j.neuro.2013.01.005
31766133,Effect of Dietary Sodium and Potassium Intake on the Mobilization of Bone Lead among Middle-Aged and Older Men: The Veterans Affairs Normative Aging Study.,https://doi.org/10.3390/nu11112750
32361261,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men.,https://doi.org/10.1016/j.envres.2020.109573
25715694,Serum tocopherol levels and vitamin E intake are associated with lung function in the normative aging study.,https://doi.org/10.1016/j.clnu.2015.01.020
,"Associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global cognition and domains of cognition: the VA Normative Aging Study",
33027507,Associations of Plasma Folate and Vitamin B6 With Blood DNA Methylation Age: An Analysis of One-Carbon Metabolites in the VA Normative Aging Study.,https://doi.org/10.1093/gerona/glaa257
32009007,"Mitochondria and aging in older individuals: an analysis of DNA methylation age metrics, leukocyte telomere length, and mitochondrial DNA copy number in the VA normative aging study.",https://doi.org/10.18632/aging.102722
22142875,Lead concentrations in relation to multiple biomarkers of cardiovascular disease: the Normative Aging Study.,https://doi.org/10.1289/ehp.1103467
32561690,Biomarkers of aging and lung function in the normative aging study.,https://doi.org/10.18632/aging.103363
26724585,"Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men.",https://doi.org/10.1016/j.envint.2015.12.014
,Promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort,
30059941,"Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment.",https://doi.org/10.1016/j.envint.2018.06.040
23603705,Lead exposure and fear-potentiated startle in the VA Normative Aging Study: a pilot study of a novel physiological approach to investigating neurotoxicant effects.,https://doi.org/10.1016/j.ntt.2013.04.003
32791250,Metabolomic signatures of lead exposure in the VA Normative Aging Study.,https://doi.org/10.1016/j.envres.2020.110022
23075571,Alu and LINE-1 methylation and lung function in the normative ageing study.,https://doi.org/10.1136/bmjopen-2012-001231
22407520,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1002/clc.21978
22430802,Gene promoter methylation is associated with lung function in the elderly: the Normative Aging Study.,https://doi.org/10.4161/epi.7.3.19216
31636367,Blood DNA methylation biomarkers of cumulative lead exposure in adults.,https://doi.org/10.1038/s41370-019-0183-9
30343628,Metastable DNA methylation sites associated with longitudinal lung function decline and aging in humans: an epigenome-wide study in the NAS and KORA cohorts.,https://doi.org/10.1080/15592294.2018.1529849
24905780,"Lead exposure, B vitamins, and plasma homocysteine in men 55 years of age and older: the VA normative aging study.",https://doi.org/10.1289/ehp.1306931
24030502,Blood pressure and cognition: factors that may account for their inconsistent association.,https://doi.org/10.1097/EDE.0b013e3182a7121c
,Influence of multiple APOE genetic variants on cognitive function in a cohort of older men - results from the Normative Aging Study,
23508416,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.,https://doi.org/10.1093/ije/dys220
,"Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: a cross sectional and a prospective case-control study nested in the Normative Aging Study",
24916788,Circulating irisin levels and coronary heart disease: association with future acute coronary syndrome and major adverse cardiovascular events.,https://doi.org/10.1038/ijo.2014.101
,DNA methylation of oxidative stress genes and cancer risk in the Normative Aging Study,
26288820,Blood Telomere Length Attrition and Cancer Development in the Normative Aging Study Cohort.,https://doi.org/10.1016/j.ebiom.2015.04.008
,Promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort,
30102601,Bone Lead Levels and Risk of Incident Primary Open-Angle Glaucoma: The VA Normative Aging Study.,https://doi.org/10.1289/EHP3442
25633720,Lead exposure and tremor among older men: the VA normative aging study.,https://doi.org/10.1289/ehp.1408535
29475968,miRNA-Processing Gene Methylation and Cancer Risk.,https://doi.org/10.1158/1055-9965.EPI-17-0849
27025874,Metabolic Syndrome and Periodontal Disease Progression in Men.,https://doi.org/10.1177/0022034516641053
30317107,"Dietary patterns, bone lead and incident coronary heart disease among middle-aged to elderly men.",https://doi.org/10.1016/j.envres.2018.09.035
24684821,Chemerin levels as predictor of acute coronary events: a case-control study nested within the veterans affairs normative aging study.,https://doi.org/10.1016/j.metabol.2014.02.013
22649255,Folate network genetic variation predicts cardiovascular disease risk in non-Hispanic white males.,https://doi.org/10.3945/jn.111.157180
21188491,"Repetitive element hypomethylation in blood leukocyte DNA and cancer incidence, prevalence, and mortality in elderly individuals: the Normative Aging Study.",https://doi.org/10.1007/s10552-010-9715-2
,Longitudinal study of DNA methylation of inflammatory genes and cancer risk,
,DNA methylation of telomere-related genes and cancer risk,
21296318,Relation between high-density lipoprotein cholesterol and survival to age 85 years in men (from the VA normative aging study).,https://doi.org/10.1016/j.amjcard.2010.12.015
30608198,Low-Level Cumulative Lead and Resistant Hypertension: A Prospective Study of Men Participating in the Veterans Affairs Normative Aging Study.,https://doi.org/10.1161/JAHA.118.010014
28070358,Cholesterol and depressive symptoms in older men across time.,https://doi.org/10.1177/2055102915592089
26955062,Long-Term Exposure to Ambient Fine Particulate Matter and Renal Function in Older Men: The Veterans Administration Normative Aging Study.,https://doi.org/10.1289/ehp.1510269
,Traffic-related air pollution and cognitive function in a cohort of older men,
27453791,Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study.,https://doi.org/10.1093/eep/dvw006
26731791,"Genome-Wide Analysis of DNA Methylation and Fine Particulate Matter Air Pollution in Three Study Populations: KORA F3, KORA F4, and the Normative Aging Study.",https://doi.org/10.1289/ehp.1509966
28284819,Associations between long-term exposure to PM(2.5) component species and blood DNA methylation age in the elderly: The VA normative aging study.,https://doi.org/10.1016/j.envint.2016.12.024
34841262,"Short-term air pollution, cognitive performance, and nonsteroidal anti-inflammatory drug use in the Veterans Affairs Normative Aging Study.",https://doi.org/10.1038/s43587-021-00060-4
24227017,"Associations between short-term changes in air pollution and correlates of arterial stiffness: The Veterans Affairs Normative Aging Study, 2007-2011.",https://doi.org/10.1093/aje/kwt271
27219535,"Particulate Air Pollution and Fasting Blood Glucose in Nondiabetic Individuals: Associations and Epigenetic Mediation in the Normative Aging Study, 2000-2011.",https://doi.org/10.1289/EHP183
,Differential DNA methylation and PM 2.5 species in a 450k epigenome-wide association study,
,Short- and intermediate-term exposure to ambient fine particulate elements and leukocyte epigenome-wide DNA methylation in older men: the Normative Aging Study,
23566092,Exposure to airborne particulate matter is associated with methylation pattern in the asthma pathway.,https://doi.org/10.2217/epi.13.16
,Ambient PM2.5 species and ultrafine particle exposure and their differential metabolomic signatures,
26090776,Use of the Adaptive LASSO Method to Identify PM2.5 Components Associated with Blood Pressure in Elderly Men: The Veterans Affairs Normative Aging Study.,https://doi.org/10.1289/ehp.1409021
30419128,Association of Long-term Ambient Black Carbon Exposure and Oxidative Stress Allelic Variants With Intraocular Pressure in Older Men.,https://doi.org/10.1001/jamaophthalmol.2018.5313
,"Quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability, blood lipids, and biomarkers of inflammation in elderly american men: the Normative Aging Study",
,"Prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a cohort of older men",
23820848,Long-term exposure to black carbon and carotid intima-media thickness: the normative aging study.,https://doi.org/10.1289/ehp.1104845
,Associations of annual ambient PM2.5 components with DNAm phenoage acceleration in elderly men: the Normative Aging Study,
21600003,"Ambient pollutants, polymorphisms associated with microRNA processing and adhesion molecules: the Normative Aging Study.",https://doi.org/10.1186/1476-069X-10-45
27927620,"Ambient Fine Particulate Matter, Outdoor Temperature, and Risk of Metabolic Syndrome.",https://doi.org/10.1093/aje/kww157
31336254,Short-term ambient particle radioactivity level and renal function in older men: Insight from the Normative Aging Study.,https://doi.org/10.1016/j.envint.2019.105018
22383587,Association between long-term exposure to traffic particles and blood pressure in the Veterans Administration Normative Aging Study.,https://doi.org/10.1136/oemed-2011-100268
28953603,Associations of Annual Ambient Fine Particulate Matter Mass and Components with Mitochondrial DNA Abundance.,https://doi.org/10.1097/EDE.0000000000000717
25769179,Beyond the Mean: Quantile Regression to Explore the Association of Air Pollution with Gene-Specific Methylation in the Normative Aging Study.,https://doi.org/10.1289/ehp.1307824
26724585,"Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men.",https://doi.org/10.1016/j.envint.2015.12.014
25028775,Long-term effects of traffic particles on lung function decline in the elderly.,https://doi.org/10.1164/rccm.201402-0350OC
,Exposure to sub-chronic and long-term particulate air pollution and heart rate variability in an elderly cohort: the Normative Aging Study,
22336131,Residential black carbon exposure and circulating markers of systemic inflammation in elderly males: the normative aging study.,https://doi.org/10.1289/ehp.1103982
